i,z,p,t,h2o,o3,co2,co,ch4,n2o,o2,nh3,no,no2,so2
1.0,0.0,1013.0,299.7,19.0,0.0287,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
2.0,1.0,904.0,293.7,13.0,0.0315,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
3.0,2.0,805.0,287.7,9.29,0.0334,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
4.0,3.0,715.0,283.7,4.69,0.035,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
5.0,4.0,633.0,277.0,2.2,0.0356,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
6.0,5.0,559.0,270.3,1.5,0.0377,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
7.0,6.0,492.0,263.6,0.849,0.0399,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
8.0,7.0,432.0,257.0,0.469,0.0422,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
9.0,8.0,378.0,250.3,0.25,0.0447,0.0,0.0,1.7,0.0,209000.0,0.0,0.0,0.0,0.0
10.0,9.0,329.0,243.6,0.12,0.05,0.0,0.0,1.69,0.0,209000.0,0.0,0.0,0.0,0.0
11.0,10.0,286.0,237.0,0.05,0.056,0.0,0.0,1.68,0.0,209000.0,0.0,0.0,0.0,0.0
12.0,11.0,247.0,230.1,0.017,0.0661,0.0,0.0,1.67,0.0,209000.0,0.0,0.0,0.0,0.0
13.0,12.0,213.0,223.6,0.00599,0.0781,0.0,0.0,1.66,0.0,209000.0,0.0,0.0,0.0,0.0
14.0,13.0,182.0,217.0,0.0018,0.0929,0.0,0.0,1.64,0.0,209000.0,0.0,0.0,0.0,0.0
15.0,14.0,156.0,210.3,0.000999,0.105,0.0,0.0,1.63,0.0,209000.0,0.0,0.0,0.0,0.0
16.0,15.0,132.0,203.7,0.000561,0.126,0.0,0.0,1.61,0.0,209000.0,0.0,0.0,0.0,0.0
17.0,16.0,111.0,197.0,0.000366,0.144,0.0,0.0,1.58,0.0,209000.0,0.0,0.0,0.0,0.0
18.0,17.0,93.7,194.8,0.000302,0.25,0.0,0.0,1.55,0.0,209000.0,0.0,0.0,0.0,0.0
19.0,18.0,78.9,198.8,0.000236,0.5,0.0,0.0,1.52,0.0,209000.0,0.0,0.0,0.0,0.0
20.0,19.0,66.6,202.7,0.000185,0.95,0.0,0.0,1.48,0.0,209000.0,0.0,0.0,0.0,0.0
21.0,20.0,56.5,206.7,0.000154,1.4,0.0,0.0,1.42,0.0,209000.0,0.0,0.0,0.0,0.0
22.0,21.0,48.0,210.7,0.000131,1.8,0.0,0.0,1.36,0.0,209000.0,0.0,0.0,0.0,0.0
23.0,22.0,40.9,214.6,0.000116,2.4,0.0,0.0,1.27,0.0,209000.0,0.0,0.0,0.0,0.0
24.0,23.0,35.0,217.0,0.000101,3.4,0.0,0.0,1.19,0.0,209000.0,0.0,0.0,0.0,0.0
25.0,24.0,30.0,219.2,9.48e-05,4.3,0.0,0.0,1.12,0.0,209000.0,0.0,0.0,0.0,0.0
26.0,25.0,25.7,221.4,8.17e-05,5.4,0.0,0.0,1.05,0.0,209000.0,0.0,0.0,0.0,0.0
27.0,30.0,12.2,232.3,4.55e-05,9.3,0.0,0.0,0.914,0.0,209000.0,0.0,0.0,0.0,0.0
28.0,35.0,6.0,243.1,2.46e-05,9.7,0.0,0.0,0.746,0.0,209000.0,0.0,0.0,0.0,0.0
29.0,40.0,3.05,254.0,1.35e-05,7.5,0.0,0.0,0.564,0.0,209000.0,0.0,0.0,0.0,0.0
30.0,45.0,1.59,264.8,7.41e-06,4.5,0.0,0.0,0.363,0.0,209000.0,0.0,0.0,0.0,0.0
31.0,50.0,0.854,270.2,4.11e-06,2.8,0.0,0.0,0.21,0.0,209000.0,0.0,0.0,0.0,0.0
32.0,70.0,0.058,218.9,2.58e-07,0.3,0.0,0.0,0.15,0.0,209000.0,0.0,0.0,0.0,0.0
33.0,100.0,0.0,190.7,1.31e-10,0.4,0.0,0.0,0.12,0.0,160000.0,0.0,0.0,0.0,0.0
