freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,3.81e-10,1.52e-13,8.29e-10,3.31e-13,0.0,0.0,1.21e-09,4.84e-13,1.21e-09,0.59399
4.0,2500.0,3.9e-10,6.24e-13,3.71e-09,5.93e-12,0.0,0.0,4.1e-09,6.55e-12,9.4e-09,0.78958
6.0,1666.666,1.33e-10,4.78e-13,8.79e-09,3.16e-11,0.0,0.0,8.92e-09,3.21e-11,2.72e-08,0.96962
8.0,1250.0,7.63e-11,4.89e-13,1.55e-08,9.91e-11,0.0,0.0,1.56e-08,9.96e-11,5.84e-08,0.99426
10.0,1000.0,3.35e-10,3.35e-12,2.36e-08,2.36e-10,0.0,0.0,2.4e-08,2.4e-10,1.06e-07,0.98726
12.0,833.333,2.23e-09,3.21e-11,3.17e-08,4.56e-10,0.0,0.0,3.39e-08,4.88e-10,1.74e-07,0.93466
14.0,714.286,5.74e-09,1.13e-10,3.96e-08,7.75e-10,0.0,0.0,4.53e-08,8.88e-10,2.65e-07,0.85746
16.0,625.0,5.26e-09,1.35e-10,5.4e-08,1.38e-09,0.0,0.0,5.92e-08,1.52e-09,3.83e-07,0.88845
18.0,555.555,1.52e-09,4.92e-11,7.39e-08,2.4e-09,0.0,0.0,7.54e-08,2.44e-09,5.34e-07,0.97177
20.0,500.0,2.82e-10,1.13e-11,9.26e-08,3.7e-09,0.0,0.0,9.29e-08,3.72e-09,7.2e-07,0.99656
22.0,454.545,2.51e-09,1.21e-10,1.09e-07,5.27e-09,0.0,0.0,1.11e-07,5.39e-09,9.43e-07,0.9772
24.0,416.667,1.31e-08,7.52e-10,1.17e-07,6.74e-09,0.0,0.0,1.3e-07,7.49e-09,1.2e-06,0.89076
26.0,384.615,2.38e-08,1.61e-09,1.26e-07,8.54e-09,0.0,0.0,1.5e-07,1.01e-08,1.5e-06,0.81757
28.0,357.143,1.78e-08,1.4e-09,1.57e-07,1.23e-08,0.0,0.0,1.75e-07,1.37e-08,1.85e-06,0.87533
30.0,333.333,4.63e-09,4.17e-10,1.98e-07,1.78e-08,0.0,0.0,2.03e-07,1.83e-08,2.26e-06,0.96995
32.0,312.5,8.21e-10,8.4e-11,2.3e-07,2.35e-08,0.0,0.0,2.3e-07,2.36e-08,2.72e-06,0.99599
34.0,294.118,1.12e-08,1.29e-09,2.46e-07,2.84e-08,0.0,0.0,2.57e-07,2.97e-08,3.23e-06,0.95173
36.0,277.778,3.57e-08,4.63e-09,2.46e-07,3.19e-08,0.0,0.0,2.82e-07,3.66e-08,3.8e-06,0.85569
38.0,263.158,4.38e-08,6.32e-09,2.68e-07,3.87e-08,0.0,0.0,3.12e-07,4.51e-08,4.42e-06,0.836
40.0,250.0,1.98e-08,3.17e-09,3.3e-07,5.28e-08,0.0,0.0,3.5e-07,5.59e-08,5.12e-06,0.93116
42.0,238.095,2.24e-09,3.96e-10,3.85e-07,6.79e-08,0.0,0.0,3.87e-07,6.83e-08,5.89e-06,0.99328
44.0,227.273,2.14e-09,4.15e-10,4.21e-07,8.14e-08,0.0,0.0,4.23e-07,8.18e-08,6.74e-06,0.9945
46.0,217.391,2.39e-08,5.05e-09,4.32e-07,9.14e-08,0.0,0.0,4.56e-07,9.65e-08,7.65e-06,0.94142
48.0,208.333,6.58e-08,1.52e-08,4.2e-07,9.68e-08,0.0,0.0,4.86e-07,1.12e-07,8.62e-06,0.84474
50.0,200.0,6.87e-08,1.72e-08,4.56e-07,1.14e-07,0.0,0.0,5.25e-07,1.31e-07,9.67e-06,0.84557
52.0,192.308,2.78e-08,7.51e-09,5.46e-07,1.48e-07,0.0,0.0,5.74e-07,1.55e-07,1.08e-05,0.94092
54.0,185.185,2.36e-09,6.89e-10,6.19e-07,1.8e-07,0.0,0.0,6.21e-07,1.81e-07,1.21e-05,0.99565
56.0,178.571,1.45e-08,4.55e-09,6.48e-07,2.03e-07,0.0,0.0,6.62e-07,2.08e-07,1.34e-05,0.97556
58.0,172.414,6.71e-08,2.26e-08,6.29e-07,2.12e-07,0.0,0.0,6.96e-07,2.34e-07,1.48e-05,0.88955
