i,z,p,t,cntmfrn,hno3,aerosol_1,aerosol_2,aerosol_3,aerosol_4,aer1*rh,cirrus,rh
1.0,0.0,1013.0,299.7,6.101e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.53
2.0,1.0,904.0,293.7,3.828e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.77
3.0,2.0,805.0,287.7,2.5e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.51
4.0,3.0,715.0,283.7,1.145e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25
5.0,4.0,633.0,277.0,4.881e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91
6.0,5.0,559.0,270.3,3.015e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71
7.0,6.0,492.0,263.6,1.544e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.79
8.0,7.0,432.0,257.0,7.69e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.98
9.0,8.0,378.0,250.3,3.68e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.47
10.0,9.0,329.0,243.6,1.58e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35
11.0,10.0,286.0,237.0,5.886e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51
12.0,11.0,247.0,230.1,1.78e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15
13.0,12.0,213.0,223.6,5.573e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.253
14.0,13.0,182.0,217.0,1.472e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.881
15.0,14.0,156.0,210.3,7.236e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41
16.0,15.0,132.0,203.7,3.551e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923
17.0,16.0,111.0,197.0,2.014e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77
18.0,17.0,93.7,194.8,1.419e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24
19.0,18.0,78.9,198.8,9.158e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.321
20.0,19.0,66.6,202.7,5.934e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.752
21.0,20.0,56.5,206.7,4.107e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818
22.0,21.0,48.0,210.7,2.908e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9217
23.0,22.0,40.9,214.6,2.15e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033
24.0,23.0,35.0,217.0,1.595e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313
25.0,24.0,30.0,219.2,1.267e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401
26.0,25.0,25.7,221.4,9258000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611
27.0,30.0,12.2,232.3,2333000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02817
28.0,35.0,6.0,243.1,592400000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00544
29.0,40.0,3.05,254.0,158500000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001173
30.0,45.0,1.59,264.8,43450000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002777
31.0,50.0,0.854,270.2,12670000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001041
32.0,70.0,0.058,218.9,66790000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006767
33.0,100.0,0.0,190.7,194200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583e-05
