freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,8.73e-10,3.49e-13,3.23e-10,1.29e-13,0.0,0.0,1.2e-09,4.78e-13,1.2e-09,0.2901
4.0,2500.0,3.15e-09,5.04e-12,8.42e-10,1.35e-12,0.0,0.0,3.99e-09,6.39e-12,9.18e-09,0.22119
6.0,1666.666,7.77e-09,2.8e-11,7.97e-10,2.87e-12,0.0,0.0,8.57e-09,3.09e-11,2.63e-08,0.11286
8.0,1250.0,1.43e-08,9.14e-11,6.34e-10,4.06e-12,0.0,0.0,1.49e-08,9.55e-11,5.62e-08,0.04514
10.0,1000.0,2.23e-08,2.23e-10,2.45e-10,2.45e-12,0.0,0.0,2.25e-08,2.25e-10,1.01e-07,0.0138
12.0,833.333,3.09e-08,4.45e-10,1.14e-11,1.65e-13,0.0,0.0,3.09e-08,4.45e-10,1.63e-07,0.00047
14.0,714.286,4.05e-08,7.94e-10,1.12e-14,2.2e-16,0.0,0.0,4.05e-08,7.94e-10,2.44e-07,0.0
16.0,625.0,5.15e-08,1.32e-09,1.63e-17,4.17e-19,0.0,0.0,5.15e-08,1.32e-09,3.47e-07,0.0
18.0,555.555,6.2e-08,2.01e-09,5.2e-17,1.69e-18,0.0,0.0,6.2e-08,2.01e-09,4.71e-07,0.0
20.0,500.0,7.74e-08,3.1e-09,5.2e-17,2.08e-18,0.0,0.0,7.74e-08,3.1e-09,6.26e-07,0.0
22.0,454.545,9.68e-08,4.68e-09,1.85e-25,8.95e-27,0.0,0.0,9.68e-08,4.68e-09,8.19e-07,0.0
24.0,416.667,1.1e-07,6.33e-09,3.24e-24,1.86e-25,0.0,0.0,1.1e-07,6.33e-09,1.04e-06,0.0
26.0,384.615,1.27e-07,8.58e-09,3.17e-24,2.14e-25,0.0,0.0,1.27e-07,8.58e-09,1.29e-06,0.0
28.0,357.143,1.52e-07,1.2e-08,2.9e-29,2.27e-30,0.0,0.0,1.52e-07,1.2e-08,1.6e-06,0.0
30.0,333.333,1.73e-07,1.55e-08,1.58e-29,1.42e-30,0.0,0.0,1.73e-07,1.55e-08,1.94e-06,0.0
32.0,312.5,1.87e-07,1.92e-08,3.24e-41,3.32e-42,0.0,0.0,1.87e-07,1.92e-08,2.32e-06,0.0
34.0,294.118,2.08e-07,2.41e-08,0.0,0.0,0.0,0.0,2.08e-07,2.41e-08,2.73e-06,0.0
36.0,277.778,2.23e-07,2.88e-08,0.0,0.0,0.0,0.0,2.23e-07,2.88e-08,3.18e-06,0.0
38.0,263.158,2.37e-07,3.42e-08,0.0,0.0,0.0,0.0,2.37e-07,3.42e-08,3.65e-06,0.0
40.0,250.0,2.66e-07,4.26e-08,0.0,0.0,0.0,0.0,2.66e-07,4.26e-08,4.18e-06,0.0
42.0,238.095,3.07e-07,5.42e-08,0.0,0.0,0.0,0.0,3.07e-07,5.42e-08,4.8e-06,0.0
