i,z,p,t,cntmfrn,hno3,aerosol_1,aerosol_2,aerosol_3,aerosol_4,aer1*rh,cirrus,rh
1.0,0.0,1013.0,299.7,6.693e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
2.0,1.0,904.0,293.7,4.202e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.05
3.0,2.0,805.0,287.7,2.746e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97
4.0,3.0,715.0,283.7,1.258e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.08
5.0,4.0,633.0,277.0,5.367e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4
6.0,5.0,559.0,270.3,3.316e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.48
7.0,6.0,492.0,263.6,1.698e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27
8.0,7.0,432.0,257.0,8.458e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18
9.0,8.0,378.0,250.3,4.047e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.41
10.0,9.0,329.0,243.6,1.738e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.89
11.0,10.0,286.0,237.0,6.474e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.46
12.0,11.0,247.0,230.1,1.958e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46
13.0,12.0,213.0,223.6,6.13e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18
14.0,13.0,182.0,217.0,1.62e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.469
15.0,14.0,156.0,210.3,7.96e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.151
16.0,15.0,132.0,203.7,3.906e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92
17.0,16.0,111.0,197.0,2.215e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44
18.0,17.0,93.7,194.8,1.56e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.16
19.0,18.0,78.9,198.8,1.007e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.153
20.0,19.0,66.6,202.7,6.528e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.127
21.0,20.0,56.5,206.7,4.518e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
22.0,21.0,48.0,210.7,3.198e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014
23.0,22.0,40.9,214.6,2.365e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536
24.0,23.0,35.0,217.0,1.754e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644
25.0,24.0,30.0,219.2,1.394e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641
26.0,25.0,25.7,221.4,1.018e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772
27.0,30.0,12.2,232.3,2566000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03098
28.0,35.0,6.0,243.1,651700000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005984
29.0,40.0,3.05,254.0,174400000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001291
30.0,45.0,1.59,264.8,47790000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055
31.0,50.0,0.854,270.2,13940000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001145
32.0,70.0,0.058,218.9,73470000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007444
33.0,100.0,0.0,190.7,213600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741e-05
